timestamp,x,y,z
2025-04-07 12:58:25.679084539,-114,-322,2017
2025-04-07 12:58:25.694705009,-98,-330,2030
2025-04-07 12:58:25.710325480,-94,-323,2036
2025-04-07 12:58:25.725946188,-88,-345,2008
2025-04-07 12:58:25.741566658,-114,-337,2025
2025-04-07 12:58:25.757187366,-130,-346,2034
2025-04-07 12:58:25.772807837,-124,-358,2059
2025-04-07 12:58:25.788428545,-104,-340,2043
2025-04-07 12:58:25.804049015,-103,-306,2027
2025-04-07 12:58:25.819669485,-108,-325,2023
2025-04-07 12:58:25.835290194,-133,-353,2029
2025-04-07 12:58:25.850910664,-133,-361,2035
2025-04-07 12:58:25.866531372,-135,-344,2042
2025-04-07 12:58:25.882151842,-157,-349,2020
2025-04-07 12:58:25.897772551,-173,-340,2012
2025-04-07 12:58:25.913393021,-163,-344,2032
2025-04-07 12:58:25.929013491,-152,-352,2038
2025-04-07 12:58:25.944634199,-130,-324,2048
2025-04-07 12:58:25.960254669,-144,-329,2015
2025-04-07 12:58:25.975875378,-123,-371,2021
2025-04-07 12:58:25.991495848,-141,-342,2045
2025-04-07 12:58:26.007116318,-137,-382,2052
2025-04-07 12:58:26.022737026,-120,-374,2001
2025-04-07 12:58:26.038357496,-129,-379,1978
2025-04-07 12:58:26.053978205,-107,-368,2031
2025-04-07 12:58:26.069598675,-123,-398,2048
2025-04-07 12:58:26.085219383,-131,-369,2019
2025-04-07 12:58:26.100839853,-152,-374,2025
2025-04-07 12:58:26.116460323,-165,-366,2018
2025-04-07 12:58:26.132081031,-165,-359,2010
2025-04-07 12:58:26.147701502,-142,-347,2024
2025-04-07 12:58:26.163322210,-143,-355,2017
2025-04-07 12:58:26.178942680,-134,-354,2044
2025-04-07 12:58:26.194563389,-118,-360,2028
2025-04-07 12:58:26.210183859,-120,-346,2051
2025-04-07 12:58:26.225804329,-121,-355,2038
2025-04-07 12:58:26.241425037,-121,-361,2026
2025-04-07 12:58:26.257045507,-146,-386,2031
2025-04-07 12:58:26.272666216,-137,-370,2029
2025-04-07 12:58:26.288286686,-92,-341,1979
2025-04-07 12:58:26.303907394,-109,-342,2017
2025-04-07 12:58:26.319527864,-101,-367,2002
